S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,2.9,19.3,-85,LD,419.1,884.1,-53,D
2,ASSAM,6.6,13.5,-51,D,564.6,775.5,-27,D
3,MEGHALAYA,5.9,23.6,-75,LD,659.3,1439,-54,D
4,NAGALAND,16.9,10.3,64,LE,321.5,496.2,-35,D
5,MANIPUR,20.1,9.4,113,LE,231.5,516.4,-55,D
6,MIZORAM,8,11.9,-33,D,592.1,748.3,-21,D
7,TRIPURA,7.6,8.6,-12,N,675.3,721.1,-6,N
8,SIKKIM,2.5,15.2,-84,LD,872.8,808.3,8,N
9,WEST BENGAL,21.3,12.5,71,LE,643.9,615.3,5,N
10,JHARKHAND,3.8,8.7,-57,D,293.5,434.7,-32,D
11,BIHAR,5.9,9.6,-38,D,272.7,432.2,-37,D
1,UTTAR PRADESH,5.3,6.5,-18,N,240,296,-19,N
2,UTTARAKHAND,14.4,12.2,18,N,469,491.7,-5,N
3,HARYANA,1.5,4,-63,LD,130.4,170.3,-23,D
4,CHANDIGARH (UT),0,7.7,-100,NR,247.5,359.6,-31,D
5,DELHI (UT),1.1,5,-77,LD,181.6,209.3,-13,N
6,PUNJAB,5.9,5.5,7,N,121.1,180.3,-33,D
7,HIMACHAL PRADESH,12.9,8.7,49,E,271.5,293.9,-8,N
8,JAMMU & KASHMIR (UT),23.5,7.4,217,LE,272.2,212.7,28,E
9,LADAKH (UT),2.8,0.1,2702,LE,29.1,10,191,LE
10,RAJASTHAN,10.7,6.6,62,LE,146.5,174,-16,N
1,ODISHA,4.8,7.9,-40,D,540.6,466.6,16,N
2,MADHYA PRADESH,5.4,11.3,-52,D,329.9,370.9,-11,N
3,GUJARAT,70.9,9.5,647,LE,307.7,303.9,1,N
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),197.4,36.3,444,LE,2165.3,1075.7,101,LE
5,GOA,11.1,36.4,-70,LD,1096,1735.4,-37,D
6,MAHARASHTRA,16.6,12,38,E,444.1,458.4,-3,N
7,CHHATTISGARH,2.3,12.3,-81,LD,397.7,477,-17,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.3,13.5,-90,LD,772,713.9,8,N
2,ANDHRA PRADESH,0.6,5.2,-89,LD,126.9,194.6,-35,D
3,TELANGANA,0.1,10.9,-99,LD,216.3,297.4,-27,D
4,TAMILNADU,0.2,3.1,-92,LD,91,103,-12,N
5,PUDUCHERRY (UT),1.1,4.8,-77,LD,64.4,135,-52,D
6,KARNATAKA,8.9,8.5,4,N,300.6,396.8,-24,D
7,KERALA,14.5,19.5,-26,D,753.3,1161.5,-35,D
8,LAKSHADWEEP (UT),0.1,12.6,-99,LD,381.5,573.1,-33,D
